SightingID,protected
E-2324,1
E-2325,1
E-2327,1
E-2328,1
E-2329,1
E-2330,1
E-2331,1
E-2332,1
E-2339,1
E-2340,1
E-2343,1
E-2344,1
E-2347,1
E-2349,1
E-2350,1
E-2352,1
E-2353,1
E-2355,1
E-2358,1
E-2360,1
E-2361,1
E-2363,1
E-2364,1
E-2368,1
E-2371,1
E-2372,1
E-2374,1
E-2375,1
E-2378,1
E-2379,1
E-2380,1
E-2385,1
E-2387,1
E-2388,1
E-2389,1
E-2390,1
E-2391,1
E-2392,1
E-2394,1
E-2396,1
E-2398,1
E-2399,1
E-2400,1
E-2407,1
E-2408,1
E-2409,0
E-2411,1
E-2412,1
E-2413,1
E-2414,1
E-2415,1
E-2416,0
E-2417,0
E-2418,0
E-2421,1
E-2422,1
E-2423,1
E-2424,1
E-1673,1
E-1674,1
E-1675,1
E-2428,1
E-2429,1
E-2430,1
E-2431,1
E-2432,1
E-2433,1
E-2434,1
E-2435,1
E-2437,1
E-2438,1
E-2441,1
E-2443,1
E-2444,1
E-2449,1
E-2453,1
E-2466,1
E-2467,1
E-2468,0
E-2469,1
E-2470,1
E-2472,1
E-2473,1
E-2477,0
E-2479,0
E-2499,0
E-2504,1
E-2506,0
E-2507,1
E-2508,1
E-2509,0
E-3016,1
E-2518,0
E-2520,1
E-2521,1
E-2524,1
E-2527,1
E-2528,1
E-2529,1
E-2530,1
E-2533,1
E-2535,1
E-2538,1
E-2539,1
E-2540,1
E-2541,1
E-2542,1
E-2545,1
E-2547,1
E-2548,1
E-2549,1
E-2558,1
E-2564,1
E-2571,1
E-2573,1
E-2574,1
E-2575,1
E-2576,1
E-2578,1
E-2579,1
E-2581,1
E-2585,1
E-2588,1
E-2589,1
E-2597,1
E-2600,1
E-2601,1
E-2602,1
E-2620,1
E-2630,1
E-2744,1
E-2745,1
E-2743,1
E-2976,1
E-2977,1
E-2978,0
E-2979,1
E-2981,1
E-2982,1
E-2983,1
E-2984,1
E-2985,1
E-2986,1
E-2987,1
E-2994,1
E-2988,1
E-2989,1
E-2990,1
E-2757,1
E-2992,1
E-2746,1
E-2762,0
E-2763,0
E-2764,0
E-2765,0
E-2766,1
E-2767,1
E-2768,1
E-2769,1
E-2770,1
E-2747,1
E-2748,1
E-2749,1
E-2750,1
E-2758,1
E-2759,1
E-2760,1
E-2761,1
E-2643,1
E-2653,1
E-2654,1
E-2665,1
E-2666,1
E-2678,1
E-2681,1
E-2682,1
E-2689,0
E-2691,1
E-2695,1
E-2698,1
E-2699,1
E-2635,1
E-2686,1
E-2701,1
E-2709,1
E-2708,1
E-2716,1
E-2717,1
E-2718,1
E-2719,1
E-2722,0
E-2724,1
E-2720,1
E-2721,1
E-2725,1
E-2726,1
E-2727,1
E-2728,1
E-2729,1
E-2730,1
E-2731,1
E-2732,1
E-2733,1
E-2734,1
E-2735,1
E-2736,1
E-2737,1
E-2738,1
E-2739,1
E-2740,1
E-2741,1
E-2742,1
E-2788,1
E-2789,1
E-2790,1
E-2791,1
E-2802,1
E-2803,1
E-2804,1
E-2801,1
E-2641,0
E-2796,0
E-2797,0
E-2879,1
E-2880,1
E-2800,1
E-2882,1
E-2883,1
E-3006,1
E-2808,0
E-2809,0
E-2810,0
E-2811,0
E-2812,1
E-2995,0
E-2806,1
E-2877,1
E-2805,0
E-2807,1
E-2815,1
E-2996,1
E-2997,1
E-2998,1
E-2999,1
E-3000,1
E-3001,1
E-3002,1
E-3004,1
E-3005,1
E-2771,1
E-3014,1
E-2813,1
E-2814,1
E-3035,0
E-2779,0
E-2780,0
E-2781,0
E-2782,0
E-2783,0
E-2784,0
E-2785,0
E-2786,0
E-2787,0
E-2875,0
E-2819,1
E-2820,1
E-3053,1
E-2816,1
E-2817,1
E-2818,1
E-2792,1
E-2794,0
E-2795,1
E-3051,0
E-2772,0
E-2773,0
E-2774,0
E-2821,1
E-2836,0
E-2824,0
E-2822,1
E-2823,1
E-2838,0
E-3017,1
E-3018,1
E-3020,1
E-2826,0
E-3039,1
E-3040,1
E-2825,1
E-2828,1
E-2829,1
E-2830,1
E-2831,1
E-2832,1
E-2833,1
E-2834,1
E-2835,1
E-2777,1
E-2778,1
E-2827,1
E-2642,1
E-3112,1
E-3280,1
E-3111,1
E-3109,1
E-3110,1
E-3210,0
E-3211,0
E-3212,0
E-3213,0
E-3214,0
E-3215,0
E-3216,0
E-3217,0
E-3164,1
E-3167,1
E-1686,0
E-3204,1
E-3205,1
E-3206,0
E-1698,1
E-1687,1
E-1688,1
E-1689,1
E-1690,1
E-1691,1
E-1692,1
E-1693,1
E-1694,1
E-1695,1
E-1696,1
E-1697,1
E-1699,1
E-1700,1
E-1701,1
E-1702,1
E-3055,1
E-3056,1
E-3057,1
E-3060,1
E-3061,1
E-3062,1
E-3063,1
E-3064,1
E-3065,1
E-3068,1
E-3069,1
E-3070,1
E-3071,1
E-3072,1
E-3073,1
E-3074,1
E-3075,1
E-3076,1
E-3077,1
E-3078,1
E-3079,1
E-3082,1
E-3083,1
E-3084,1
E-3085,1
E-3086,1
E-3087,1
E-3088,1
E-3089,1
E-3090,1
E-3091,1
E-3093,1
E-3094,1
E-3095,1
E-3096,1
E-3097,1
E-3098,1
E-1684,0
E-1677,1
E-1678,1
E-1679,1
E-1680,1
E-1681,1
E-1682,1
E-1683,1
E-3296,1
E-3297,1
E-3230,1
E-3231,1
E-3232,1
E-3233,1
E-3304,0
E-3305,0
E-3234,1
E-3235,1
E-3236,1
E-3237,1
E-3238,1
E-3218,1
E-3219,1
E-3220,1
E-3221,1
E-3222,1
E-3223,1
E-3224,1
E-3311,1
E-3312,0
E-3593,1
E-3197,0
E-3198,0
E-3199,0
E-3200,0
E-3201,0
E-3202,0
E-3314,1
E-3195,1
E-3196,1
E-3315,1
E-3316,1
E-3317,1
E-3318,1
E-3319,1
E-3320,1
E-3321,1
E-3322,1
E-3323,1
E-3324,1
E-3325,1
E-3549,1
E-3550,1
E-3553,1
E-3554,1
E-3555,1
E-3556,1
E-3557,1
E-3558,1
E-3559,1
E-3560,0
E-3712,1
E-3713,1
E-3714,1
E-3715,1
E-3716,1
E-3717,1
E-3718,1
E-3719,1
E-3720,1
E-3722,1
E-3723,1
E-3724,1
E-3561,1
E-3562,1
E-3563,1
E-3564,1
E-3565,1
E-3567,1
E-3568,1
E-3735,1
E-3254,1
E-3255,1
E-3256,1
E-3569,1
E-3570,1
E-3571,1
E-3610,1
E-3611,1
E-3612,1
E-3613,1
E-3614,1
E-3615,1
E-3616,1
E-3734,1
E-3591,1
E-3644,1
E-3645,1
E-3646,1
E-3647,1
E-3648,1
E-3649,1
E-3650,1
E-3595,0
E-3597,1
E-3617,1
E-3619,1
E-3620,1
E-3621,1
E-3622,1
E-3623,1
E-3598,1
E-3599,1
E-3600,1
E-3601,1
E-3602,1
E-3603,1
