"parameter","mean","sd","q2.5","q50","q97.5","Rhat","n.eff"
"mean.ageclass[1]",3.33404038012723,0.140554268473035,3.06553976304157,3.33130293580632,3.61643557887457,1.01382768738505,162
"mean.ageclass[2]",3.50045999035523,0.141870655809447,3.23206692865124,3.49643664606821,3.79002736935219,1.02005421986057,107
"mean.ageclass[3]",3.89333272130003,0.179033514737495,3.56344565037762,3.88606058017926,4.26690685553397,1.00990419449658,207
"mean.ageclass[4]",3.35233886476744,0.0945805194699623,3.169696811514,3.35126101458664,3.54096933375201,1.019370485922,111
"beta.sex",-0.689792893046745,0.104374926462212,-0.894356960219572,-0.690365857686706,-0.489531381039176,1.02078730580088,103
"beta.prot",-0.54238243284632,0.106890786175598,-0.749618415232292,-0.543210741088005,-0.335856357686099,1.00162528270138,1338
"phi[1,1,1]",0.965273510737274,0.00468497118673879,0.955448701020775,0.965487212031401,0.973825222258022,1.01340434543276,164
"phi[2,1,1]",0.970432249070954,0.00404515312749559,0.962023339153168,0.970586210824008,0.977904269108146,1.01890619769638,111
"phi[3,1,1]",0.979730674342616,0.00350608720320507,0.972440072879537,0.979886796871507,0.986168884950806,1.01040766968305,202
"phi[4,1,1]",0.966045198899262,0.00309656705328068,0.95967785394532,0.96614610511475,0.971831259933606,1.01901113047712,112
"phi[1,2,1]",0.933184730479875,0.00822069436921171,0.916106900466495,0.933470903568548,0.948545897224788,1.00043658151702,4695
"phi[2,2,1]",0.942807262762709,0.00733882061676389,0.927736791339855,0.943100049869705,0.956283035620725,1.00156163069915,1483
"phi[3,2,1]",0.960438827798546,0.00658407413099762,0.946713011441672,0.960753098040437,0.972633220035252,1.00160373345946,1213
"phi[4,2,1]",0.934422175799957,0.00710757644647294,0.920021224356604,0.93474307400963,0.947697881672473,1.00017425768495,7451
"phi[1,1,2]",0.941685388840995,0.00820066290450535,0.924415057125926,0.94201289074236,0.956393195947393,1.01081119507022,200
"phi[2,1,2]",0.950114909552915,0.00747934570640038,0.934293477920931,0.950508664415401,0.963658451094869,1.01521751297947,139
"phi[3,1,2]",0.965598176473118,0.00618614235824674,0.952946578104752,0.965921082065059,0.976858267555646,1.00751904035845,278
"phi[4,1,2]",0.942916383448939,0.00599121344309609,0.930605549576554,0.943113377508938,0.95397317878019,1.01347423946082,153
"phi[1,2,2]",0.890277085941901,0.0141979521110281,0.860929524843992,0.89092976756802,0.916733450181152,1.0002113305264,12000
"phi[2,2,2]",0.905363549125665,0.0134451423345003,0.876928775688454,0.90589275787398,0.929852552715339,1.00087994774805,2331
"phi[3,2,2]",0.933763628143351,0.0115056777025292,0.90932468417127,0.934382414045767,0.954668089609792,1.00038842611417,11204
"phi[4,2,2]",0.89216624240046,0.0129345504492235,0.864784670808283,0.892636486381745,0.916122359842696,1.00143661606832,1579
"surv.annual[1,1,1]",0.84115782890944,0.0199583076356891,0.799847222573114,0.84188150566275,0.878115613811508,1.0134355828855,163
"surv.annual[2,1,1]",0.886964263255201,0.014766165155447,0.856529713417686,0.887434825950538,0.91450349234023,1.01901314990235,110
"surv.annual[3,1,1]",0.921425374306154,0.0131704515479202,0.894234433408574,0.921942050323831,0.945812791305927,1.01036648230604,203
"surv.annual[4,1,1]",0.870996772925904,0.0111578223947996,0.848207076877088,0.871307053240427,0.891997131751008,1.0190477013983,112
"surv.annual[1,2,1]",0.713097604048726,0.0306746548630299,0.650906598318938,0.713641524937077,0.771925476858994,1.00045975268565,4536
"surv.annual[2,2,1]",0.790404351504533,0.0245378364212722,0.740796836685476,0.791099429413666,0.836268630223239,1.00162763292818,1451
"surv.annual[3,2,1]",0.851140241431762,0.0232762508768394,0.803291893188193,0.852014869581589,0.894945100581758,1.00159763041505,1210
"surv.annual[4,2,1]",0.762646197131055,0.0231457443476113,0.716459070916876,0.763429651210523,0.806639787010391,1.00017610732518,7487
"surv.annual[1,1,2]",0.745487516181162,0.0316362831432927,0.680350442322009,0.746219555142546,0.803729382142126,1.01065208329733,200
"surv.annual[2,1,2]",0.815202870448283,0.0255710202173198,0.761961922011403,0.816252116187533,0.862367811416423,1.01511049243118,139
"surv.annual[3,1,2]",0.869545929257055,0.022211558256392,0.824658651678809,0.870495599640257,0.91059702245911,1.0074822743397,278
"surv.annual[4,1,2]",0.790674648366152,0.0200543610808021,0.750002225892304,0.791144148786604,0.828217987216674,1.01348838900525,153
"surv.annual[1,2,2]",0.567154323276452,0.0440137319658247,0.480077521952479,0.567819050190105,0.65309105844422,1.00017755379788,12000
"surv.annual[2,2,2]",0.672766851003495,0.039685135152028,0.591367271686922,0.673452781365513,0.747577721796047,1.00083387429357,2362
"surv.annual[3,2,2]",0.760925733376863,0.0372898524432979,0.683716281536134,0.762252090442575,0.830633848932218,1.00039311896411,10080
"surv.annual[4,2,2]",0.63435041432141,0.0365864923408458,0.559283402000009,0.63489007557492,0.704391217529808,1.0013366739358,1628
"mean.p",0.425904536733495,0.0167854799110228,0.392340418175259,0.425880388745538,0.458123487459247,1.00394278933625,586
"sigma.p",1.20940465063922,0.0704915511036231,1.07925249084456,1.20646938719436,1.35590553783195,1.00696017814828,396
"alpha",0.795163969147301,0.0910492579884101,0.61083436117296,0.796991317275017,0.967303695421747,1.02641974741136,82
"psi",0.21416791336974,0.0233226729155585,0.171014650971933,0.213392138035814,0.260813564848424,1.03333568262802,65
"gamma[1]",0,0,0,0,0,NA,1
"gamma[2]",0.191588842516138,0.223546335560892,-0.251849156637033,0.190203312014154,0.628441136921445,1.0052595932322,1516
"fec[1]",0.474960758829084,0.0574728449498879,0.374173972478591,0.471138510818644,0.596370734353316,1.09580957853217,26
"fec[2]",0.58463184375243,0.125757458043385,0.364215632274864,0.576724430138446,0.848217170884727,1.0357593983777,63
"sigma.c",29.9449460328127,8.31216159129271,18.48399136,28.4144347751488,50.3839561355479,1.00000086947014,12000
"Ntot[1]",207.769864780651,21.8262372875553,166.071821182695,207.052695868965,253.853500603303,1.00738937198257,293
"Ntot[2]",206.776470255161,19.6958066873422,168.467815409918,206.181223093434,247.966633482262,1.00714291927489,295
"Ntot[3]",205.999691366393,17.7161426974043,171.324092922885,205.58966271381,242.745940858671,1.00696075537415,297
"Ntot[4]",205.431711043853,15.8875170168948,174.010595739526,205.181711035911,238.314829078894,1.00680490923438,300
"Ntot[5]",205.06552342176,14.2175808439214,176.697657946067,204.951936901905,234.286560888306,1.00661503715113,307
"Ntot[6]",204.894860399224,12.723901480969,179.479101669318,204.875608754766,230.887044487266,1.00630086564779,321
"Ntot[7]",204.914130301801,11.43690115155,181.820359382253,204.947109231428,228.033268399686,1.00574510210355,349
"Ntot[8]",205.118365932016,10.4018195651012,184.335985287715,205.094586016667,225.975624178185,1.00484133548946,410
"Ntot[9]",205.503180043543,9.67621846764738,186.294298873674,205.483751438478,224.673717306295,1.00359147380629,544
"Ntot[10]",206.064726802186,9.31805303611664,187.735559521083,206.071612780946,224.475111464213,1.00221147307831,874
"Ntot[11]",206.799668211184,9.36406937271208,188.270347269846,206.753116406713,225.346196547375,1.00107424502128,1876
"Ntot[12]",207.70514471276,9.81131007779484,188.140443442921,207.639066197903,227.298006388103,1.00046055321847,5445
"Ntot[13]",208.778749350399,10.6186558660748,187.476530565163,208.762213349007,230.047947199143,1.00041153475707,6670
"Ntot[14]",210.01850500623,11.7265778210614,186.804136755941,209.893614642199,233.551682112285,1.00081226019903,2702
"Ntot[15]",211.422844332345,13.077360242431,185.550212493051,211.194474815038,237.965715894297,1.00151951837466,1336
"Ntot[16]",212.990592069956,14.6251778589571,184.305104249432,212.722568303697,242.850011284171,1.00242058103037,827
"Nprot[1,1]",111.362638634498,49.1293160681002,17.0467821398928,115.575515603064,197.150828995261,1.25822918259506,12
"Nprot[2,1]",96.4072261461532,56.1185883955083,6.04903546970927,92.6365580426685,204.276225278455,1.15366624515316,17
"Nprot[1,2]",113.48421578562,49.2238186380283,17.6884716748973,118.155419507317,197.4618578258,1.25166957721188,12
"Nprot[2,2]",93.2922544695412,55.256302414083,5.80328739556771,88.9037986793589,200.753405085457,1.15915099113672,17
"Nprot[1,3]",115.666076690269,49.3397678776987,18.2438728942047,120.902233812176,198.239148424072,1.24480618007761,12
"Nprot[2,3]",90.3336146761239,54.4973502977883,5.49963367685364,85.2437081755461,197.316631998816,1.16388114050193,17
"Nprot[1,4]",117.909759018714,49.4793599222369,18.8589846713541,123.857836378245,199.070522490485,1.23763971519747,12
"Nprot[2,4]",87.5219520251387,53.8284127287786,5.19579161003131,81.4928973346909,195.054103381762,1.1678689501044,16
"Nprot[1,5]",120.216954978821,49.6450879159154,19.6575667917612,126.699869839841,199.645043922431,1.23017418524604,13
"Nprot[2,5]",84.8485684429391,53.2378221186262,4.85945673767168,78.0232975569137,192.921580009575,1.17114220329471,16
"Nprot[1,6]",122.589494788057,49.8397442807097,20.3006121649231,129.767726155138,200.73582403976,1.22241731118044,13
"Nprot[2,6]",82.3053656111663,52.7153999365351,4.58464671587095,74.5979875323512,191.21618533976,1.17374007647018,16
"Nprot[1,7]",125.029334788808,50.0664257473143,21.0263314401278,132.912545394173,201.896431736142,1.21438094880784,13
"Nprot[2,7]",79.8847955129931,52.2523010620863,4.3311198426601,71.491199296037,189.247508720226,1.17570941386519,16
"Nprot[1,8]",127.538549178546,50.3285400865109,21.7408863685263,136.060039473067,203.163609612942,1.20608145859561,14
"Nprot[2,8]",77.5798167534698,51.84086690445,4.12292316628957,68.813933101918,188.163535993052,1.17710155086994,16
